Date,Open,High,Low,Close,Adj Close,Volume
2021-02-05,56.389999,64.440002,55.509998,63.639999,63.639999,85323600
2021-02-08,63.340000,63.779999,61.400002,63.779999,63.779999,28437300
2021-02-09,63.160000,65.320000,62.330002,62.799999,62.799999,17318200
2021-02-10,63.430000,63.779999,61.049999,62.599998,62.599998,10264600
2021-02-11,63.939999,65.419998,61.720001,62.230000,62.230000,16303000
2021-02-12,62.060001,63.290001,60.880001,61.970001,61.970001,11607200
2021-02-16,62.279999,64.290001,61.180000,62.810001,62.810001,18671000
2021-02-17,62.029999,63.220001,61.070000,62.720001,62.720001,14343000
2021-02-18,61.980000,64.000000,61.400002,62.869999,62.869999,12937400
2021-02-19,63.919998,65.790001,63.730000,65.519997,65.519997,24490600
2021-02-22,66.349998,67.500000,63.080002,63.410000,63.410000,22511600
2021-02-23,61.049999,72.949997,56.830002,70.449997,70.449997,76106300
2021-02-24,70.910004,73.589996,68.504997,69.470001,69.470001,40732300
2021-02-25,69.400002,70.900002,62.709999,63.259998,63.259998,25413600
2021-02-26,64.860001,66.320000,62.000000,65.660004,65.660004,29416400
2021-03-01,66.930000,67.699997,63.320000,66.669998,66.669998,22085200
2021-03-02,67.000000,68.879997,64.199997,64.510002,64.510002,18733100
2021-03-03,64.519997,64.699997,58.930000,60.020000,60.020000,22860500
2021-03-04,60.009998,61.080002,55.930000,57.709999,57.709999,25413400
2021-03-05,57.900002,57.950001,51.320000,57.430000,57.430000,28888200
2021-03-08,57.799999,58.570000,52.000000,52.889999,52.889999,26773300
2021-03-09,55.410000,57.290001,54.509998,56.299999,56.299999,20743600
2021-03-10,57.410000,58.430000,55.009998,55.070000,55.070000,19758500
2021-03-11,56.750000,59.970001,56.250000,59.619999,59.619999,22758100
2021-03-12,58.330002,64.360001,57.085999,62.689999,62.689999,23400700
2021-03-15,62.494999,63.970001,61.389999,63.740002,63.740002,16832100
2021-03-16,64.400002,65.129997,60.919998,62.230000,62.230000,17856200
2021-03-17,60.820000,64.300003,59.580002,63.950001,63.950001,17406100
2021-03-18,63.169998,63.230000,58.220001,58.490002,58.490002,22555900
2021-03-19,58.650002,59.400002,57.419998,58.360001,58.360001,20536800
2021-03-22,57.189999,58.689999,54.599998,58.160000,58.160000,27575400
2021-03-23,58.099998,58.189999,55.205002,55.259998,55.259998,17510700
2021-03-24,55.700001,56.360001,49.509998,50.509998,50.509998,25471900
2021-03-25,49.270000,51.750000,48.320000,51.410000,51.410000,21692100
2021-03-26,51.500000,51.849998,49.860001,51.599998,51.599998,15182400
2021-03-29,51.009998,51.750000,48.900002,49.570000,49.570000,17896500
2021-03-30,49.070000,50.570000,47.919998,49.610001,49.610001,17599900
2021-03-31,50.570000,53.294998,49.970001,52.290001,52.290001,26444600
2021-04-01,53.689999,54.720001,53.349998,54.490002,54.490002,16155800
2021-04-05,55.180000,55.279999,52.689999,54.110001,54.110001,12737400
2021-04-06,56.779999,58.130001,55.970001,56.880001,56.880001,27868900
